Views,Likes,Dislikes,Comments,Count(*)
< 5 Lakh,< 10k,<500,< 1k,5395
< 5 Lakh,< 10k,<500,1k - 5k,1063
< 5 Lakh,< 10k,<500,>= 5k,13
< 5 Lakh,< 10k,>=500,< 1k,201
< 5 Lakh,< 10k,>=500,1k - 5k,240
< 5 Lakh,< 10k,>=500,>= 5k,7
< 5 Lakh,>= 10k,<500,< 1k,167
< 5 Lakh,>= 10k,<500,1k - 5k,808
< 5 Lakh,>= 10k,<500,>= 5k,79
< 5 Lakh,>= 10k,>=500,< 1k,17
< 5 Lakh,>= 10k,>=500,1k - 5k,230
< 5 Lakh,>= 10k,>=500,>= 5k,92
5 Lakh - 5M,< 10k,<500,< 1k,325
5 Lakh - 5M,< 10k,<500,1k - 5k,221
5 Lakh - 5M,< 10k,<500,>= 5k,3
5 Lakh - 5M,< 10k,>=500,< 1k,209
5 Lakh - 5M,< 10k,>=500,1k - 5k,430
5 Lakh - 5M,< 10k,>=500,>= 5k,42
5 Lakh - 5M,>= 10k,<500,< 1k,123
5 Lakh - 5M,>= 10k,<500,1k - 5k,603
5 Lakh - 5M,>= 10k,<500,>= 5k,85
5 Lakh - 5M,>= 10k,>=500,< 1k,138
5 Lakh - 5M,>= 10k,>=500,1k - 5k,1124
5 Lakh - 5M,>= 10k,>=500,>= 5k,1437
> 5 Lakh,< 10k,<500,>= 5k,1
> 5 Lakh,< 10k,>=500,< 1k,1
> 5 Lakh,< 10k,>=500,1k - 5k,2
> 5 Lakh,>= 10k,>=500,< 1k,9
> 5 Lakh,>= 10k,>=500,1k - 5k,44
> 5 Lakh,>= 10k,>=500,>= 5k,342
